order_item_id,order_id,product_id,quantity,unit_price
1,1,47,1,1289.2
2,2,11,1,96.76
3,2,20,4,1192.73
4,2,43,5,922.65
5,3,13,4,850.67
6,3,12,1,1439.81
7,3,41,3,230.26
8,3,29,2,353.52
9,4,38,4,664.72
10,4,8,5,120.93
11,4,38,1,664.72
12,4,18,4,965.57
13,5,34,2,1466.33
14,5,13,5,850.67
15,6,49,1,816.44
16,6,49,5,816.44
17,6,34,3,1466.33
18,6,22,1,1453.6
19,7,26,2,1408.14
20,7,43,3,922.65
21,7,3,1,761.39
22,7,20,4,1192.73
23,8,4,1,1414.79
24,8,13,3,850.67
25,9,36,4,672.9
26,9,3,1,761.39
27,9,34,3,1466.33
28,9,11,2,96.76
29,10,31,2,479.42
30,10,7,1,73.1
31,10,7,3,73.1
32,11,46,1,84.06
33,11,9,5,327.48
34,11,43,2,922.65
35,11,23,4,139.75
36,12,32,3,413.85
37,13,24,4,446.96
38,14,26,5,1408.14
39,14,24,4,446.96
40,14,36,2,672.9
41,14,25,2,1033.69
42,15,18,5,965.57
43,15,7,1,73.1
44,15,21,5,655.95
45,15,19,2,1412.64
46,16,48,5,102.92
47,17,22,1,1453.6
48,17,50,4,1034.54
49,17,13,5,850.67
50,17,36,4,672.9
51,18,8,5,120.93
52,18,12,4,1439.81
53,19,50,1,1034.54
54,19,27,1,952.8
55,19,7,3,73.1
56,20,26,2,1408.14
57,20,44,4,389.5
58,21,30,4,1441.27
59,21,10,3,1196.87
60,22,1,2,372.19
61,22,46,1,84.06
62,22,25,4,1033.69
63,23,49,1,816.44
64,24,20,2,1192.73
65,25,14,5,725.18
66,25,43,3,922.65
67,25,25,2,1033.69
68,26,11,2,96.76
69,26,5,4,764.17
70,26,40,5,1278.17
71,26,6,3,1347.33
72,27,17,5,875.42
73,28,17,3,875.42
74,28,44,2,389.5
75,29,46,4,84.06
76,29,13,4,850.67
77,29,22,2,1453.6
78,30,36,1,672.9
79,31,2,4,440.88
80,31,3,4,761.39
81,31,41,5,230.26
82,31,11,1,96.76
83,32,45,3,272.51
84,32,22,1,1453.6
85,32,25,5,1033.69
86,32,45,5,272.51
87,33,20,4,1192.73
88,33,17,5,875.42
89,34,6,4,1347.33
90,34,5,1,764.17
91,34,8,1,120.93
92,35,3,2,761.39
93,35,28,5,54.17
94,35,14,1,725.18
95,36,19,4,1412.64
96,36,25,3,1033.69
97,36,7,3,73.1
98,36,44,4,389.5
99,37,24,2,446.96
100,38,34,1,1466.33
101,38,6,3,1347.33
102,38,38,3,664.72
103,39,28,2,54.17
104,40,3,4,761.39
105,40,23,1,139.75
106,40,9,1,327.48
107,40,13,4,850.67
108,41,45,3,272.51
109,41,46,5,84.06
110,41,3,1,761.39
111,41,14,5,725.18
112,42,42,1,1167.25
113,42,9,3,327.48
